"文件","原行号","原入口","原中文","原英文","改写中文","改写英文","当前结论"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","317","languageCopy.zh-CN.taskWorkspace.taskCreatePasteAttachmentFailed","无法保存粘贴的图片或附件，请重试。","Unable to save pasted images or files. Try again.","无法添加粘贴的图片或附件。","The pasted image or attachment could not be added.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","324","languageCopy.zh-CN.taskWorkspace.taskCreateSubmitFailed","创建任务失败，请保留输入后重试。","Task creation failed. Your input is preserved for retry.","任务未能创建。请查看错误原因后再继续。","The task could not be created. Check the error before continuing.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","330","languageCopy.zh-CN.taskWorkspace.emptyOutcomeAi","AI Runtime 连接后显示执行状态","AI Runtime state appears after launch","连接 AI 后可查看处理进度","Connect an AI service to see progress","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","331","languageCopy.zh-CN.taskWorkspace.emptyOutcomeEvidence","运行、来源和事件会形成证据","Run events and sources become evidence","任务的处理记录可随时查看","Review the task’s activity at any time","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","336","languageCopy.zh-CN.taskWorkspace.taskListLoadingHelp","保留当前视图框架","Keeping the current table frame in place.","正在加载项目中的任务。","Loading the project’s tasks.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","337","languageCopy.zh-CN.taskWorkspace.taskListLoadingMeta","等待本机数据","Waiting for local data","请稍候","Please wait","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","340","languageCopy.zh-CN.taskWorkspace.taskListErrorHelp","请重试，或在项目设置中确认本机路径权限。错误详情只进入本机日志，不在普通界面暴露堆栈。","Retry, or confirm local path permissions in project settings. Error details are written only to local logs.","任务列表未能加载，请查看具体错误原因。","The task list could not be loaded. Check the error for the cause.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","365","languageCopy.zh-CN.taskWorkspace.runtimeSessionLabel","Runtime 会话","Runtime session","运行会话","Run","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","368","languageCopy.zh-CN.taskWorkspace.noEvidence","暂无执行证据","No execution evidence yet","暂无处理记录","No activity yet","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","376","languageCopy.zh-CN.taskWorkspace.previewUnavailableLabel","无法读取图片预览。文件可能不是受支持的图片，或不在 Zeus 受信目录。","Unable to read the image preview. The file may be unsupported or outside Zeus trusted storage.","无法预览此图片，请检查文件格式和访问权限。","This image cannot be previewed. Check its format and access permissions.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","380","languageCopy.zh-CN.taskWorkspace.runtimeSessionNotStarted","未启动 Runtime 会话","Runtime session not started","尚未开始处理","Not started","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","389","languageCopy.zh-CN.taskWorkspace.nextActionLabels.failed","可重试","Can retry","处理失败","Failed","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","395","languageCopy.zh-CN.taskWorkspace.sourceLabels.runtime_session","Runtime 会话","Runtime session","运行会话","Run","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","408","languageCopy.zh-CN.taskWorkspace.runtimeSessionStatusLabels.orphan_detected","孤儿进程","Orphan detected","与 Zeus 失去联系的进程","Process disconnected from Zeus","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","419","languageCopy.zh-CN.taskWorkspace.noEvents","暂无事件；修改任务状态或推送到新会话后会在这里显示真实记录。","No events yet. Status changes and new conversations will appear here as real records.","任务状态变化和 AI 处理记录会显示在这里。","Task status changes and AI activity will appear here.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","464","languageCopy.zh-CN.taskWorkspace.runtimeSessionColumnTitle","Runtime 会话","Runtime session","运行会话","Run","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","490","languageCopy.zh-CN.taskWorkspace.metadataTitle","任务元信息","Task metadata","任务信息","Task information","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","493","languageCopy.zh-CN.taskWorkspace.cancelConfirm","确认取消该任务？运行中的 Runtime 会收到取消请求。","Cancel this task? Running Runtime work will receive a cancel request.","确认取消该任务？Zeus 将请求停止正在进行的处理。","Cancel this task? Zeus will ask the active work to stop.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","496","languageCopy.zh-CN.taskWorkspace.followUpHelp","补充到当前任务，不把任务页伪装成会话聊天输入框。","Add to this task without turning the task page into a chat input.","补充这项任务的要求，保存后可用于后续处理。","Add requirements to this task for future work.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","534","languageCopy.zh-CN.sessionWorkspace.emptyHelp","新对话会创建真实会话记录；当前筛选没有匹配项时可先清空搜索词。","New chat creates a real session record. Clear the search term if the current filter has no matches.","开始一段新对话，或清空搜索查看已有会话。","Start a new conversation or clear the search to see existing ones.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","541","languageCopy.zh-CN.sessionWorkspace.aiDetected","AI CLI 已检测","AI CLI detected","已找到 AI 工具","AI tool found","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","542","languageCopy.zh-CN.sessionWorkspace.aiNotConfigured","AI CLI 未配置","AI CLI not configured","尚未配置 AI 工具","AI tool not configured","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","558","languageCopy.zh-CN.sessionWorkspace.followUpHelp","补充给当前任务或 CLI 对话的下一步要求。","Add the next requirement to this task or app-server session.","告诉 AI 接下来需要处理什么。","Tell the AI what to work on next.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","575","languageCopy.zh-CN.sessionWorkspace.secondaryDrawer.graphContextHelp","当前项目真实图谱规模","Real graph scope for the current project","当前项目的代码结构概览","Code structure of this project","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","579","languageCopy.zh-CN.sessionWorkspace.secondaryDrawer.insufficientRuntimeSession","来源不足，未启动 Runtime 会话","Insufficient sources, Runtime session not started","可用资料不足，暂时无法回答。","There is not enough source material to answer yet.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","584","languageCopy.zh-CN.sessionWorkspace.secondaryDrawer.loadDiff","读取 Diff","Load Diff","查看文件差异","View file changes","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","586","languageCopy.zh-CN.sessionWorkspace.secondaryDrawer.noLoadedChangesAria","暂无已读取变更","No loaded changes","尚未加载文件变更","File changes not loaded yet","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","587","languageCopy.zh-CN.sessionWorkspace.secondaryDrawer.noLoadedChangesTitle","暂无已读取变更","No loaded changes","尚未加载文件变更","File changes not loaded yet","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","588","languageCopy.zh-CN.sessionWorkspace.secondaryDrawer.noLoadedChangesHelp","读取 Diff 后会按真实文件路径展示。","Load Diff to show real file paths.","查看差异后，这里会列出有改动的文件。","Files with changes will appear here after loading the diff.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","590","languageCopy.zh-CN.sessionWorkspace.secondaryDrawer.realGitDiffFile","真实 Git diff 文件","Real Git diff file","Git 变更文件","Files changed in Git","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","598","languageCopy.zh-CN.sessionWorkspace.secondaryDrawer.emptyTemplatesHelp","读取真实模板后，这里会显示可套用的任务提示和创建入口。","Load real templates to show task prompts and creation actions here.","加载模板后，可以选用其中的任务要求创建任务。","Load templates to create a task from their requirements.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","608","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.runtimeStatus","Runtime 状态","Runtime status","运行状态","Run status","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","611","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.terminalBackend","终端后端","Terminal backend","终端服务","Terminal service","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","612","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.terminalPending","node-pty 状态等待读取。","node-pty status is pending.","正在检查终端是否可用。","Checking whether the terminal is available.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","613","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.runtimeSessions","AI Runtime 会话","AI Runtime sessions","AI 运行记录","AI runs","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","614","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.startRuntimeSession","启动 Runtime 会话","Start Runtime session","开始运行","Start a run","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","615","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.runtimeSessionSearch","Runtime 会话搜索","Runtime session search","搜索运行记录","Search runs","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","621","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.emptyRuntimeSessions","暂无真实 Runtime 会话。","No real Runtime sessions yet.","暂无运行记录。","No runs yet.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","627","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.runtimeSessionStatusLabels.orphan_detected","孤儿会话","Orphan detected","与 Zeus 失去联系的会话","Run disconnected from Zeus","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","630","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.runtimeAdaptersAria","Runtime 适配器","Runtime adapters","AI 工具","AI tools","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","631","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.runtimeAdaptersTitle","Runtime 适配器","Runtime adapters","AI 工具","AI tools","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","637","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.checkAdapter","检测适配器","Check adapter","检查工具","Check tool","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","647","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.genericShellRiskAria","通用 Shell 高风险确认","Generic shell high-risk confirmation","确认运行本机命令","Confirm a local command","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","648","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.genericShellRiskTitle","通用 Shell 高风险确认","Generic shell high-risk confirmation","确认运行本机命令","Confirm a local command","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","649","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.genericShellCommandAria","通用 Shell 命令","Generic shell command","本机命令","Local command","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","650","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.genericShellCommandTitle","通用 Shell 命令","Generic shell command","本机命令","Local command","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","651","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.genericShellCommandHelp","按 sh -lc 一次性启动真实本机命令，变更后必须重新创建确认。","Starts a real local command once through sh -lc. Create a fresh confirmation after changes.","命令将在本机执行。修改命令后需要重新确认。","This command will run on this computer. Changes require a new confirmation.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","653","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.genericShellChangedStatus","命令已变更，请重新创建通用 Shell 确认","Command changed. Create a new Generic shell confirmation.","命令已修改，请重新确认。","The command has changed. Confirm it again.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","654","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.genericShellConfirmationIdle","尚未创建通用 Shell 确认","No Generic shell confirmation yet","请先检查并确认命令。","Review and confirm the command first.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","655","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.genericShellConfirmationCreated","已创建确认 ${confirmationId}，确认只绑定本次 sh -lc。","Created confirmation ${confirmationId}. It is bound to this sh -lc only.","请确认本次命令。确认编号：${confirmationId}","Confirm this command. Confirmation ID: ${confirmationId}","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","656","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.genericShellConfirmationCreateFailed","通用 Shell 确认创建失败","Failed to create Generic shell confirmation","无法准备命令确认","The command confirmation could not be prepared","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","657","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.genericShellConfirmationRejectFailed","通用 Shell 确认拒绝失败","Failed to reject Generic shell confirmation","未能拒绝本次命令","This command could not be declined","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","659","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.genericShellConfirmationConsumed","已消费确认 ${confirmationId} 并启动通用 Shell 会话。","Consumed confirmation ${confirmationId} and started a Generic shell session.","已按确认 ${confirmationId} 开始执行命令。","Started the command with confirmation ${confirmationId}.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","660","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.genericShellConfirmationFailed","通用 Shell 确认或启动失败","Generic shell confirmation or startup failed","本机命令未能开始执行","The local command could not be started","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","661","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.commandPreviewAria","通用 Shell 命令预览","Generic shell command preview","将要执行的命令","Command to run","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","663","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.commandPreviewHelp","本次 sh -lc 预览","This sh -lc preview","请检查命令内容和影响。","Check the command and its effects.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","665","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.genericShellRiskSummary","${label}：${reason}。确认只绑定本次 sh -lc。","${label}: ${reason}. Confirmation is bound to this sh -lc only.","${label}：${reason}。本次授权仅适用于这条命令。","${label}: ${reason}. This approval applies only to this command.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","669","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.confirmationStateAria","通用 Shell 确认状态","Generic shell confirmation state","命令确认状态","Command approval status","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","671","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.confirmationStateHelp","本次命令绑定","Bound to this command","仅对本次命令有效","Applies to this command only","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","672","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.rejectedAria","已拒绝通用 Shell 确认","Rejected Generic shell confirmation","已拒绝执行命令","Command declined","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","673","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.rejectedTitle","已拒绝通用 Shell 确认","Rejected Generic shell confirmation","已拒绝执行命令","Command declined","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","674","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.rejectedHelp","不会启动 Runtime 会话","Runtime session will not start","命令不会执行。","The command will not run.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","676","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.createGenericShellConfirmation","创建通用 Shell 确认","Create Generic shell confirmation","检查并确认命令","Review command","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","677","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.rejectGenericShellConfirmation","拒绝通用 Shell 确认","Reject Generic shell confirmation","拒绝执行","Decline","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","678","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.confirmAndStartGenericShell","确认并启动通用 Shell","Confirm and start Generic shell","确认并执行命令","Confirm and run command","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","679","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.rejectImpactAria","拒绝通用 Shell 影响","Generic shell rejection impact","拒绝后的影响","Effect of declining","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","682","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.rejectImpactBody","拒绝后不会启动 Runtime 会话。","Rejected commands will not start a Runtime session.","拒绝后不会执行这条命令。","Declining prevents this command from running.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","684","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.runtimeSessionActionsAria","Runtime 会话操作","Runtime session actions","运行操作","Run actions","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","695","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.runtimeInputAria","Runtime 输入","Runtime input","发送到当前运行会话","Input for the current run","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","696","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.runtimeInputSendAria","Runtime 输入发送","Send Runtime input","发送输入","Send input","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","697","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.runtimeInputTitle","Runtime 输入","Runtime input","发送到当前运行会话","Input for the current run","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","699","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.sendRuntimeInput","发送 Runtime 输入","Send Runtime input","发送","Send","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","700","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.terminalControlsAria","Runtime 终端控制","Runtime terminal controls","终端操作","Terminal actions","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","703","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.loadTerminalSnapshot","读取终端快照","Load terminal snapshot","刷新终端内容","Refresh terminal output","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","705","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.orphanControlsAria","Runtime 孤儿会话控制","Runtime orphan session controls","处理失去联系的会话","Manage disconnected runs","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","707","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.orphanTitle","进程 ${pid} 已脱离当前 Runtime 控制","Process ${pid} is outside current Runtime control","Zeus 已无法控制进程 ${pid}。","Zeus can no longer control process ${pid}.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","708","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.orphanHelp","只能终止本机残留进程；不会恢复输入、日志或 AI 会话状态。","Only terminates the remaining local process. Input, logs, or AI session state will not be restored.","可以结束这个残留进程，但无法在此继续输入或恢复对话。","You can end the remaining process, but cannot resume input or the conversation here.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","709","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.orphanStop","终止孤儿会话","Terminate orphan session","结束残留进程","End remaining process","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","710","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.logsAria","真实 Runtime 日志","Real Runtime logs","运行日志","Run logs","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","711","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.logsTitle","真实 Runtime 日志","Real Runtime logs","运行日志","Run logs","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","713","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.logActionsAria","Runtime 日志操作","Runtime log actions","日志操作","Log actions","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","717","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.logSearchAria","Runtime 日志搜索","Runtime log search","搜索运行日志","Search run logs","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","719","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.logSearchHelp","仅过滤当前加载的真实日志","Filters only the real logs currently loaded","仅搜索当前已加载的日志。","Search only the logs currently loaded.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","720","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.logExportIdle","尚未导出 Runtime 日志","No Runtime log export yet","尚未导出日志","Logs not exported yet","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","721","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.logExportEmpty","没有可导出的真实 Runtime 日志","No real Runtime logs to export","没有可导出的日志","No logs to export","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","722","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.logExportCancelled","已取消 Runtime 日志导出","Runtime log export cancelled","已取消导出日志","Log export cancelled","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","723","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.logExportFailed","Runtime 日志导出失败","Runtime log export failed","运行日志导出失败","Run logs could not be exported","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","724","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.logExportSaved","最近导出 Runtime 日志：${filePath}","Last Runtime log export: ${filePath}","日志已导出至：${filePath}","Logs exported to: ${filePath}","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","725","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.logCopyIdle","尚未复制 Runtime 日志","No Runtime log copy yet","尚未复制日志","Logs not copied yet","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","726","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.logCopyEmpty","没有可复制的真实 Runtime 日志","No real Runtime logs to copy","没有可复制的日志","No logs to copy","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","729","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.logExportState","日志导出只保存当前加载的真实 Runtime 日志 · ${exportStatus} · ${copyStatus}","Log export only saves the real Runtime logs currently loaded · ${exportStatus} · ${copyStatus}","只导出当前已加载的日志 · ${exportStatus} · ${copyStatus}","Only loaded logs are exported · ${exportStatus} · ${copyStatus}","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","733","languageCopy.zh-CN.sessionWorkspace.runtimeDrawer.terminalAria","xterm Runtime 终端","xterm Runtime terminal","运行终端","Terminal","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","755","languageCopy.zh-CN.codeWorkspace.waitingRealScan","等待真实扫描","Waiting for real scan","尚未扫描","Not scanned","最终文字仍在源码"
