"文件","检查结论","字符串候选数","产品文案出现次数"
"apps/desktop/src/main/mermaidExport.ts","已检查，保留清楚文案或非产品内容","3","0"
"apps/desktop/src/main/nativeAutomationHost.ts","已检查，保留清楚文案或非产品内容","2","0"
"apps/desktop/src/main/nativeUpdateProgress.ts","已检查并修改","4","1"
"apps/desktop/src/main/patchExport.ts","已检查，保留清楚文案或非产品内容","1","0"
"apps/desktop/src/main/projectDirectoryPicker.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/main/projectGitWorkbench.ts","已检查，保留清楚文案或非产品内容","11","0"
"apps/desktop/src/main/projectSourceWorkspace.ts","已检查，保留清楚文案或非产品内容","16","0"
"apps/desktop/src/main/readOnlyValidationCodexManager.ts","已检查，保留清楚文案或非产品内容","1","0"
"apps/desktop/src/main/readOnlyValidationIpcFence.ts","已检查，保留清楚文案或非产品内容","1","0"
"apps/desktop/src/main/readOnlyValidationManifest.ts","已检查，保留清楚文案或非产品内容","16","0"
"apps/desktop/src/main/releaseInstaller.ts","已检查，保留清楚文案或非产品内容","18","0"
"apps/desktop/src/main/releaseInstallerProtocol.ts","已检查，保留清楚文案或非产品内容","4","0"
"apps/desktop/src/main/releaseUpdateService.ts","已检查，保留清楚文案或非产品内容","29","0"
"apps/desktop/src/main/rendererBootstrapMonitor.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/main/retiredNativeRuntimeCleanup.ts","已检查，保留清楚文案或非产品内容","8","0"
"apps/desktop/src/main/runtimeLogExport.ts","已检查，保留清楚文案或非产品内容","2","0"
"apps/desktop/src/main/secretServiceIdentity.ts","已检查，保留清楚文案或非产品内容","2","0"
"apps/desktop/src/main/sessionViewCache.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/main/settingsPortability.ts","已检查，保留清楚文案或非产品内容","4","0"
"apps/desktop/src/main/sourceOpen.ts","已检查，保留清楚文案或非产品内容","2","0"
"apps/desktop/src/main/startupCoordinator.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/main/storageRecoveryRestartCoordinator.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/main/systemNotifications.ts","已检查并修改","84","84"
"apps/desktop/src/main/taskClipboard.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/main/testDataRootIsolation.ts","已检查，保留清楚文案或非产品内容","3","0"
"apps/desktop/src/main/testDisplayPlacement.ts","已检查，保留清楚文案或非产品内容","5","0"
"apps/desktop/src/main/windowRestoration.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/main/windowState.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/main/zentaoApi.ts","已检查，保留清楚文案或非产品内容","24","0"
"apps/desktop/src/main/zentaoTaskExtract.ts","已检查，保留清楚文案或非产品内容","84","0"
"apps/desktop/src/main/zeusDataMigration.ts","已检查，保留清楚文案或非产品内容","45","0"
"apps/desktop/src/preload/browser-page.cts","已检查，保留清楚文案或非产品内容","5","0"
"apps/desktop/src/preload/index.cts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/preload/rendererBootstrapState.cjs","已检查，保留清楚文案或非产品内容","3","0"
"apps/desktop/src/renderer/App.tsx","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/CommandCenterPanel.tsx","已检查并修改","194","192"
"apps/desktop/src/renderer/ErrorBoundary.tsx","已检查并修改","12","11"
"apps/desktop/src/renderer/WorkspacePage.tsx","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/ZeusSelect.tsx","已检查，保留清楚文案或非产品内容","2","2"
"apps/desktop/src/renderer/apiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/appShellBridge.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/code/CodeEditor.tsx","已检查，保留清楚文案或非产品内容","1","1"
"apps/desktop/src/renderer/code/ProjectSourceWorkspace.tsx","已检查并修改","130","130"
"apps/desktop/src/renderer/code/SyntaxHighlightedCode.tsx","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/code/projectSourceWorkspace.css","配置、样式或原生工具已检查","0","0"
"apps/desktop/src/renderer/code/sourceLanguageRegistry.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/code/syntaxHighlightRuntime.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/codexLoginHandoff.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/commandCenter.css","配置、样式或原生工具已检查","0","0"
"apps/desktop/src/renderer/commandRequest.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/dashboardClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/externalStore.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/automations/AutomationsWorkspace.tsx","已检查并修改","181","180"
"apps/desktop/src/renderer/features/automations/automationApiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/automations/automationContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/codex/codexApiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/codex/codexContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/codex/codexPublicCommandClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/command-center/commandCenterApiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/command-center/commandCenterCommandClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/conversations/conversationApiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/conversations/conversationCommandClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/conversations/conversationContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/conversations/conversationDispatchCommandClient.ts","已检查，保留清楚文案或非产品内容","1","0"
"apps/desktop/src/renderer/features/conversations/conversationQueryStore.ts","已检查并修改","1","0"
"apps/desktop/src/renderer/features/conversations/durableCommandEnvelopeCache.ts","已检查，保留清楚文案或非产品内容","4","1"
"apps/desktop/src/renderer/features/conversations/graphConversationCommandClient.ts","已检查，保留清楚文案或非产品内容","2","1"
"apps/desktop/src/renderer/features/conversations/useConversationFeatureController.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/dashboard/dashboardApiClient.ts","已检查，保留清楚文案或非产品内容","2","2"
"apps/desktop/src/renderer/features/dashboard/dashboardContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/digital-employees/AgentExecutionConfigFields.tsx","已检查并修改","54","53"
"apps/desktop/src/renderer/features/digital-employees/DigitalEmployeeTemplatesSettings.tsx","已检查并修改","57","56"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","已检查并修改","229","228"
"apps/desktop/src/renderer/features/digital-employees/TaskDigitalEmployeePanel.tsx","已检查并修改","292","292"
"apps/desktop/src/renderer/features/digital-employees/digitalEmployeeApiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/digital-employees/digitalEmployeeContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/digital-employees/digitalEmployeeUiSupport.ts","已检查并修改","34","33"
"apps/desktop/src/renderer/features/digital-employees/digitalEmployees.css","配置、样式或原生工具已检查","0","0"
"apps/desktop/src/renderer/features/git/gitApiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/git/gitCommandClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/git/gitContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/git/gitQueryStore.ts","已检查并修改","1","0"
"apps/desktop/src/renderer/features/git/useGitFeatureController.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/git/workspaceGitCommandClient.ts","已检查，保留清楚文案或非产品内容","1","0"
"apps/desktop/src/renderer/features/graph/CodeMapView.tsx","已检查并修改","101","100"
"apps/desktop/src/renderer/features/graph/GraphCanvas.tsx","已检查，保留清楚文案或非产品内容","33","33"
"apps/desktop/src/renderer/features/graph/diagramExport.ts","已检查，保留清楚文案或非产品内容","4","4"
"apps/desktop/src/renderer/features/graph/graphApiClient.ts","已检查，保留清楚文案或非产品内容","2","2"
"apps/desktop/src/renderer/features/graph/graphContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/integrations/integrationApiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/integrations/integrationCommandClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/integrations/integrationContracts.ts","已检查并修改","2","0"
"apps/desktop/src/renderer/features/memory/MemorySettingsPane.tsx","已检查并修改","72","70"
"apps/desktop/src/renderer/features/memory/memoryApiClient.ts","已检查，保留清楚文案或非产品内容","3","2"
"apps/desktop/src/renderer/features/memory/memoryContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/memory/memoryQueryStore.ts","已检查并修改","0","0"
"apps/desktop/src/renderer/features/memory/memorySettingsPane.css","配置、样式或原生工具已检查","0","0"
"apps/desktop/src/renderer/features/memory/useMemoryFeatureController.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/projects/projectApiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/projects/projectContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/projects/projectQueryStore.ts","已检查并修改","1","0"
"apps/desktop/src/renderer/features/projects/useProjectFeatureController.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/release/releaseContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/remote/remoteControlApiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/remote/remoteControlContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/remote/remoteControlQueryStore.ts","已检查并修改","0","0"
"apps/desktop/src/renderer/features/remote/useRemoteControlFeatureController.ts","已检查，保留清楚文案或非产品内容","6","0"
"apps/desktop/src/renderer/features/runtime/runtimeApiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/runtime/runtimeContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/runtime/runtimeSessionCommandClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/settings/settingsApiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/settings/settingsCommandClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/settings/settingsContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/settings/settingsQueryStore.ts","已检查并修改","1","0"
"apps/desktop/src/renderer/features/settings/useSettingsFeatureController.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/skills/ExtensionsWorkspace.tsx","已检查并修改","105","105"
"apps/desktop/src/renderer/features/skills/SkillSelector.tsx","已检查并修改","31","31"
"apps/desktop/src/renderer/features/skills/SkillsWorkspace.tsx","已检查并修改","86","86"
"apps/desktop/src/renderer/features/skills/skillWorkflowPreferences.ts","已检查，保留清楚文案或非产品内容","7","6"
"apps/desktop/src/renderer/features/tasks/taskApiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/tasks/taskContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/tasks/taskQueryStore.ts","已检查并修改","1","0"
"apps/desktop/src/renderer/features/tasks/useTaskFeatureController.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/telegram/ImRobotSettingsPane.tsx","已检查并修改","129","129"
"apps/desktop/src/renderer/features/telegram/imRobotSettings.css","配置、样式或原生工具已检查","0","0"
"apps/desktop/src/renderer/features/telegram/telegramApiClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/telegram/telegramCommandClient.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/telegram/telegramContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/work-management/workManagementCommandClient.ts","已检查，保留清楚文案或非产品内容","1","1"
"apps/desktop/src/renderer/features/workspace/WorkspaceChrome.tsx","已检查并修改","30","30"
"apps/desktop/src/renderer/features/workspace/WorkspaceView.tsx","已检查并修改","162","162"
"apps/desktop/src/renderer/features/workspace/useWorkspaceDomainActions.tsx","已检查并修改","66","49"
"apps/desktop/src/renderer/features/workspace/useWorkspaceLifecycle.ts","已检查并修改","2","0"
"apps/desktop/src/renderer/features/workspace/useWorkspaceOperations.tsx","已检查并修改","36","35"
"apps/desktop/src/renderer/features/workspace/useWorkspaceQueryState.tsx","已检查并修改","19","19"
"apps/desktop/src/renderer/features/workspace/workspaceContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","已检查并修改","2438","2430"
"apps/desktop/src/renderer/features/workspace/workspaceFormatters.ts","已检查并修改","25","25"
"apps/desktop/src/renderer/features/workspace/workspaceSupport.tsx","已检查并修改","97","89"
"apps/desktop/src/renderer/git/ProjectGitDiffViewer.tsx","已检查，保留清楚文案或非产品内容","26","25"
"apps/desktop/src/renderer/git/ProjectGitWorkbench.tsx","已检查并修改","307","298"
"apps/desktop/src/renderer/global.d.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/graph/ArchitectureGraphCanvas.tsx","已检查，保留清楚文案或非产品内容","22","22"
"apps/desktop/src/renderer/main.tsx","已检查并修改","44","33"
"apps/desktop/src/renderer/modelOptionPresentation.ts","已检查，保留清楚文案或非产品内容","7","7"
"apps/desktop/src/renderer/performanceTraceContext.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/rendererPerformanceObservability.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/session/AnsweredRequestHistory.tsx","已检查并修改","39","39"
"apps/desktop/src/renderer/session/BrowserWorkspace.tsx","已检查并修改","68","68"
"apps/desktop/src/renderer/session/CodeCommentPanel.tsx","已检查，保留清楚文案或非产品内容","15","15"
"apps/desktop/src/renderer/session/CollaborationModeControl.tsx","已检查并修改","5","5"
"apps/desktop/src/renderer/session/ComposerDropdown.tsx","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/session/ContextUsageIndicator.tsx","已检查并修改","35","35"
"apps/desktop/src/renderer/session/ConversationComposer.tsx","已检查并修改","57","57"
"apps/desktop/src/renderer/session/ConversationComposerAttachments.tsx","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/session/ConversationMarkdown.tsx","已检查，保留清楚文案或非产品内容","13","13"
"apps/desktop/src/renderer/session/ConversationResources.tsx","已检查，保留清楚文案或非产品内容","68","68"
"apps/desktop/src/renderer/session/ConversationTranscript.tsx","已检查并修改","64","64"
"apps/desktop/src/renderer/session/GoalPanel.tsx","已检查并修改","72","72"
"apps/desktop/src/renderer/session/LegacyConversationBanner.tsx","已检查并修改","6","6"
"apps/desktop/src/renderer/session/McpAppFrame.tsx","已检查并修改","19","15"
"apps/desktop/src/renderer/session/NewConversationExecutionContext.tsx","已检查并修改","42","42"
"apps/desktop/src/renderer/session/PendingRequestSurface.tsx","已检查并修改","149","141"
"apps/desktop/src/renderer/session/PermissionModeControl.tsx","已检查，保留清楚文案或非产品内容","32","32"
"apps/desktop/src/renderer/session/PlanImplementationRequestSurface.tsx","已检查并修改","15","15"
"apps/desktop/src/renderer/session/PlanSummary.tsx","已检查，保留清楚文案或非产品内容","19","19"
"apps/desktop/src/renderer/session/PlanWorkspace.tsx","已检查，保留清楚文案或非产品内容","13","13"
"apps/desktop/src/renderer/session/ProjectConversationTree.tsx","已检查并修改","43","43"
"apps/desktop/src/renderer/session/ResponseSelectionActions.tsx","已检查，保留清楚文案或非产品内容","17","17"
"apps/desktop/src/renderer/session/RuntimeDetails.tsx","已检查并修改","55","55"
"apps/desktop/src/renderer/session/ServiceTierToggle.tsx","已检查，保留清楚文案或非产品内容","11","11"
"apps/desktop/src/renderer/session/SessionActivity.tsx","已检查，保留清楚文案或非产品内容","109","109"
"apps/desktop/src/renderer/session/SessionCodeReviewDialog.tsx","已检查并修改","64","63"
"apps/desktop/src/renderer/session/SessionMessageIcons.tsx","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/session/SessionQuickActionsCard.tsx","已检查并修改","67","67"
"apps/desktop/src/renderer/session/SessionReasoningSummary.tsx","已检查，保留清楚文案或非产品内容","11","11"
"apps/desktop/src/renderer/session/SessionWorkspace.tsx","已检查并修改","228","213"
"apps/desktop/src/renderer/session/SourceWorkspace.tsx","已检查，保留清楚文案或非产品内容","39","39"
"apps/desktop/src/renderer/session/StructuredComposerInput.tsx","已检查并修改","47","45"
"apps/desktop/src/renderer/session/SubagentWorkspace.tsx","已检查并修改","62","62"
"apps/desktop/src/renderer/session/ThreadItemView.tsx","已检查并修改","139","139"
"apps/desktop/src/renderer/session/TurnChanges.tsx","已检查并修改","76","76"
"apps/desktop/src/renderer/session/conversationDisplayTitle.ts","已检查并修改","6","2"
"apps/desktop/src/renderer/session/conversationOrdering.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/session/conversationRuntimePreferences.ts","已检查，保留清楚文案或非产品内容","6","0"
"apps/desktop/src/renderer/session/conversationSnapshotV2Adapter.ts","已检查，保留清楚文案或非产品内容","7","0"
"apps/desktop/src/renderer/session/modelSelection.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/session/projectServiceTierPreferences.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/session/serviceTierSelection.ts","已检查，保留清楚文案或非产品内容","3","3"
"apps/desktop/src/renderer/session/session.css","配置、样式或原生工具已检查","0","0"
"apps/desktop/src/renderer/session/sessionHotCache.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/session/sessionReducer.ts","已检查并修改","2","0"
"apps/desktop/src/renderer/session/sessionSelectors.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/session/sessionStateSlices.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/session/sessionTypes.ts","已检查并修改","0","0"
"apps/desktop/src/renderer/session/textareaAutosize.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/session/tokenUsageFormat.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/session/transcriptViewportVirtualizer.ts","已检查，保留清楚文案或非产品内容","4","0"
"apps/desktop/src/renderer/session/useConversationInputResources.ts","已检查并修改","8","3"
"apps/desktop/src/renderer/session/useSessionController.ts","已检查并修改","51","0"
"apps/desktop/src/renderer/session/useThreadScrollController.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/sessionOperationIdentity.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/settings/BrowserSettingsPane.tsx","已检查并修改","128","128"
"apps/desktop/src/renderer/settings/CodexConfigImportSettings.tsx","已检查，保留清楚文案或非产品内容","23","23"
"apps/desktop/src/renderer/settings/CodexRemoteControlSettings.tsx","已检查并修改","80","80"
"apps/desktop/src/renderer/settings/CodexUsageSettingsPane.tsx","已检查，保留清楚文案或非产品内容","89","89"
"apps/desktop/src/renderer/settings/LegacyChatImportSettings.tsx","已检查，保留清楚文案或非产品内容","20","20"
"apps/desktop/src/renderer/settings/MenuBarUsageWindow.css","配置、样式或原生工具已检查","0","0"
"apps/desktop/src/renderer/settings/MenuBarUsageWindow.tsx","已检查并修改","80","80"
"apps/desktop/src/renderer/settings/ModelConnectionsSettingsPane.tsx","已检查并修改","150","150"
"apps/desktop/src/renderer/settings/ProjectModelsSettings.tsx","已检查并修改","33","33"
"apps/desktop/src/renderer/settings/TaskManagementStatusEditor.tsx","已检查并修改","31","31"
"apps/desktop/src/renderer/settings/ZentaoSettingsPane.tsx","已检查并修改","52","52"
"apps/desktop/src/renderer/storageRecoveryError.ts","已检查，保留清楚文案或非产品内容","4","4"
"apps/desktop/src/renderer/styles.css","配置、样式或原生工具已检查","0","0"
"apps/desktop/src/renderer/task/TaskAttachmentPreviewList.tsx","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/task/TaskBoardView.tsx","已检查并修改","292","290"
"apps/desktop/src/renderer/task/TaskDetailPaneContent.tsx","已检查并修改","177","173"
"apps/desktop/src/renderer/task/TaskGitConflictWorkspace.tsx","已检查并修改","145","145"
"apps/desktop/src/renderer/task/TaskGitDeliveryWindow.tsx","已检查，保留清楚文案或非产品内容","2","2"
"apps/desktop/src/renderer/task/TaskGitDiffTable.tsx","已检查，保留清楚文案或非产品内容","7","6"
"apps/desktop/src/renderer/task/TaskGitMergeModal.tsx","已检查并修改","215","212"
"apps/desktop/src/renderer/task/TaskGitReviewModal.tsx","已检查并修改","96","94"
"apps/desktop/src/renderer/task/TaskModelPushModal.tsx","已检查并修改","294","286"
"apps/desktop/src/renderer/task/TaskModelPushPendingWorkspace.tsx","已检查并修改","1","0"
"apps/desktop/src/renderer/task/TaskPushSupplementalAttachmentCards.tsx","已检查，保留清楚文案或非产品内容","16","16"
"apps/desktop/src/renderer/task/TaskRunStatusChip.tsx","已检查，保留清楚文案或非产品内容","17","17"
"apps/desktop/src/renderer/task/TaskWorkflowSection.tsx","已检查并修改","137","136"
"apps/desktop/src/renderer/task/TaskWorkspace.tsx","已检查并修改","102","102"
"apps/desktop/src/renderer/task/TaskWorkspaceBranchList.tsx","已检查，保留清楚文案或非产品内容","14","14"
"apps/desktop/src/renderer/task/taskAttachments.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/task/taskBoardModel.ts","已检查，保留清楚文案或非产品内容","44","44"
"apps/desktop/src/renderer/task/taskConflictModel.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/task/taskWorkspaceModel.ts","已检查并修改","215","215"
"apps/desktop/src/renderer/transport/dashboardClientContracts.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/transport/localApiEventSubscription.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/transport/localApiTransport.ts","已检查并修改","2","2"
"apps/desktop/src/renderer/ui/ApplicationErrorDialog.tsx","已检查并修改","25","24"
"apps/desktop/src/renderer/ui/Button.tsx","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/ui/ModalPortal.tsx","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/ui/PendingResourceCards.tsx","已检查，保留清楚文案或非产品内容","12","12"
"apps/desktop/src/renderer/ui/SourceListRow.tsx","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/ui/WorkspaceDrawer.tsx","已检查，保留清楚文案或非产品内容","1","1"
"apps/desktop/src/renderer/ui/nativeCloseLayer.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/ui/pendingResourcePolicy.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/renderer/ui/primitives.css","配置、样式或原生工具已检查","0","0"
"apps/desktop/src/renderer/ui/useNewItemMotion.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/tsconfig.json","配置、样式或原生工具已检查","0","0"
"apps/desktop/tsconfig.main.json","配置、样式或原生工具已检查","0","0"
"apps/desktop/tsconfig.preload.json","配置、样式或原生工具已检查","0","0"
"apps/desktop/vite.config.ts","已检查，保留清楚文案或非产品内容","0","0"
"packages/ai-runtime/package.json","配置、样式或原生工具已检查","0","0"
"packages/ai-runtime/src/agentCapabilityCatalog.ts","已检查，保留清楚文案或非产品内容","6","0"
