"文件","原入口","原行号","原文","结论"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.body","47","真实任务","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.title","52","Zeus 等待确认","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.body","53","高风险操作","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.title","58","Zeus 确认已通过","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.body","59","高风险操作","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.title","64","Zeus 确认已拒绝","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.body","65","高风险操作","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.title","70","Zeus 扫描完成","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.body","71","真实项目","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.body","71","节点","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.body","71","边","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.title","76","Zeus 扫描失败","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.body","77","真实项目","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.body","77","请回到 Zeus 查看详情","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.title","82","Zeus Runtime 已结束","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.title","88","Zeus Runtime 出错","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.body","89","请回到 Zeus 查看日志","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","93","模型已回复，请回到会话查看。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","98","Zeus 等待审批","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","98","会话需要你补充信息。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","98","会话需要你确认后才能继续。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","104","Zeus 模型请求未完成","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","104","本轮请求未完成，会话可以继续。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","106","Zeus 会话失败","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","106","本轮执行失败，请回到会话查看详情。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","107","Zeus 会话已中断","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","107","本轮执行已中断。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","108","Zeus 会话已完成","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","108","本轮执行已经完成。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","114","目标已经达到停止条件。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","115","Zeus 目标需要处理","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","115","目标遇到阻塞，需要你处理。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","116","Zeus 目标用量受限","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","116","目标因账户用量限制暂停。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","117","Zeus 目标预算受限","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent","117","目标因令牌预算限制暂停。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","joinNotificationParts","218","请回到 Zeus 查看详情","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/ErrorBoundary.tsx","rendererCrashCopy.zh-CN.ariaLabel","28","Zeus 界面错误边界","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/ErrorBoundary.tsx","rendererCrashCopy.zh-CN.title","30","启动失败","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/ErrorBoundary.tsx","rendererCrashCopy.zh-CN.description","31","Zeus 现在无法使用。重新启动会停止遗留工作，并重新启动全部相关进程。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/ErrorBoundary.tsx","rendererCrashCopy.en-US.ariaLabel","36","Zeus interface error boundary","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/ErrorBoundary.tsx","rendererCrashCopy.en-US.title","38","Startup failed","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/ErrorBoundary.tsx","rendererCrashCopy.en-US.description","39","Zeus cannot be used right now. Restarting stops remaining work and restarts all related processes.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/DigitalEmployeeTemplatesSettings.tsx","DigitalEmployeeTemplatesSettings.loadTemplates","39","无法读取数字员工模板。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/DigitalEmployeeTemplatesSettings.tsx","DigitalEmployeeTemplatesSettings.loadTemplates","39","Could not load digital employee templates.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/DigitalEmployeeTemplatesSettings.tsx","DigitalEmployeeTemplatesSettings.saveTemplate","77","保存数字员工模板失败。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/DigitalEmployeeTemplatesSettings.tsx","DigitalEmployeeTemplatesSettings.saveTemplate","77","Could not save the digital employee template.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/DigitalEmployeeTemplatesSettings.tsx","DigitalEmployeeTemplatesSettings.deleteTemplate","95","删除数字员工模板失败。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/DigitalEmployeeTemplatesSettings.tsx","DigitalEmployeeTemplatesSettings.deleteTemplate","95","Could not delete the digital employee template.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.loadProjectConfiguration","85","无法读取项目数字员工配置。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.loadProjectConfiguration","85","Could not load project digital employee configuration.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.addEmployee","129","无法把模板分配到项目。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.addEmployee","129","Could not assign the template to this project.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.saveEmployee","154","保存项目数字员工失败。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.saveEmployee","154","Could not save the project digital employee.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.toggleEmployee","169","修改员工状态失败。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.toggleEmployee","169","Could not change employee status.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.deleteEmployee","189","移除数字员工失败。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.deleteEmployee","189","Could not remove the digital employee.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.createAutomation","228","创建自动化规则失败。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.createAutomation","228","Could not create the automation rule.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.toggleAutomation","242","修改自动化状态失败。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.toggleAutomation","242","Could not change automation status.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.runAutomation","257","请求立即运行失败。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.runAutomation","257","Could not request an immediate run.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.deleteAutomation","272","删除自动化规则失败。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/ProjectDigitalEmployeesPanel.tsx","ProjectDigitalEmployeesPanel.deleteAutomation","272","Could not delete the automation rule.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/TaskDigitalEmployeePanel.tsx","useTaskDigitalEmployeeManagement.load","63","无法读取任务工作管理状态。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/TaskDigitalEmployeePanel.tsx","useTaskDigitalEmployeeManagement.load","63","Could not load task work management.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/TaskDigitalEmployeePanel.tsx","useTaskDigitalEmployeeManagement.act","84","工作管理操作失败。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/TaskDigitalEmployeePanel.tsx","useTaskDigitalEmployeeManagement.act","84","Work management action failed.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/TaskDigitalEmployeePanel.tsx","TaskEmployeeRunDialog","526","无法读取本次执行能力。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/TaskDigitalEmployeePanel.tsx","TaskEmployeeRunDialog","526","Could not load run capabilities.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/TaskDigitalEmployeePanel.tsx","TaskEmployeeRunDialog.timer","573","无法生成本次执行预览。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/TaskDigitalEmployeePanel.tsx","TaskEmployeeRunDialog.timer","573","Could not generate this run preview.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/TaskDigitalEmployeePanel.tsx","CommandEvidenceDialog","931","无法读取命令证据。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/TaskDigitalEmployeePanel.tsx","CommandEvidenceDialog","931","Could not load command evidence.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/TaskDigitalEmployeePanel.tsx","DecisionDialog","1028","无法读取交付物正文。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/digital-employees/TaskDigitalEmployeePanel.tsx","DecisionDialog","1028","Could not load deliverable content.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/skills/ExtensionsWorkspace.tsx","ExtensionsWorkspace.load","69","无法读取扩展目录。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/skills/ExtensionsWorkspace.tsx","ExtensionsWorkspace.load","69","Unable to load extensions.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/skills/ExtensionsWorkspace.tsx","ExtensionsWorkspace.mutate","94","扩展操作失败。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/skills/ExtensionsWorkspace.tsx","ExtensionsWorkspace.mutate","94","Extension operation failed.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/skills/SkillSelector.tsx","SkillSelector.load","44","无法读取 Skill","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/skills/SkillSelector.tsx","SkillSelector.load","44","Unable to load skills","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/skills/SkillsWorkspace.tsx","SkillsWorkspace.load","45","无法读取 Skill","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/skills/SkillsWorkspace.tsx","SkillsWorkspace.load","45","Unable to load skills","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/skills/SkillsWorkspace.tsx","SkillsWorkspace.submitInstall","99","Skill 安装失败","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/skills/SkillsWorkspace.tsx","SkillsWorkspace.submitInstall","99","Skill installation failed","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/skills/SkillsWorkspace.tsx","SkillsWorkspace.removeSkill","120","无法移除 Skill","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/skills/SkillsWorkspace.tsx","SkillsWorkspace.removeSkill","120","Unable to remove skill","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/telegram/ImRobotSettingsPane.tsx","ImRobotSettingsPane","62","无法读取 IM 连接状态。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/telegram/ImRobotSettingsPane.tsx","ImRobotSettingsPane","62","Unable to load IM connection status.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/telegram/ImRobotSettingsPane.tsx","ImRobotSettingsPane","80","二维码生成失败，请使用下方链接完成配对。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/telegram/ImRobotSettingsPane.tsx","ImRobotSettingsPane","80","Unable to generate QR code. Use the link below instead.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/telegram/ImRobotSettingsPane.tsx","ImRobotSettingsPane.execute","163","操作失败，请稍后重试。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/telegram/ImRobotSettingsPane.tsx","ImRobotSettingsPane.execute","163","The operation failed. Please try again.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/workspace/useWorkspaceDomainActions.tsx","useWorkspaceDomainActions.resumeTaskModelPushAfterCodexLoginRequired","3098","${pending.task.title}：Codex 登录已失效，已恢复本次推送。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/renderer/features/workspace/useWorkspaceDomainActions.tsx","useWorkspaceDomainActions.resumeTaskModelPushAfterCodexLoginRequired","3098","${pending.task.title}: Codex sign-in expired. The push was restored.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
