"文件","入口","数量","保留理由","候选逐项原文"
"apps/desktop/scripts/build-native-helpers.mjs","compileSwift","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":76,""text"":""Zeus 原生辅助程序构建失败（${source}）${signal ? `：signal=${signal}` : `：code=${code ?? 'unknown'}`}""}]"
"apps/desktop/scripts/generate-browser-frozen-schemas.mjs","(模块)","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":8,""text"":""Usage: node generate-browser-frozen-schemas.mjs <public-api.json> <output.ts>""}]"
"apps/desktop/scripts/generate-browser-frozen-schemas.mjs","typeSchema.description","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":45,""text"":""Zeus frozen action descriptor.""}]"
"apps/desktop/scripts/generate-browser-frozen-schemas.mjs","typeSchema.description","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":53,""text"":""Current-turn Zeus Browser handle.""}]"
"apps/desktop/scripts/generate-browser-frozen-schemas.mjs","body","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":116,""text"":""/* 由冻结版本公开 api.json 机械生成；仅包含方法参数结构，不包含插件代码、文档正文或资产。 */\\nimport type { BrowserFrozenArgumentSchema } from './browserFrozenContract.js';\\n\\nexport const browserFrozenPublicApiSha256 = '${digest}' as const;\\n\\nexport const browserFrozenUnsupportedSurfaces: Readonly<Record<string, readonly string[]>> = ${JSON.stringify(unsupportedSurfaces, null, 2)};\\n\\nexport const browserFrozenPublicArgumentSchemas: Readonly<Record<string, BrowserFrozenArgumentSchema>> = ${JSON.stringify(schemas, null, 2)};\\n""}]"
"apps/desktop/src/main/appShellPolicy.ts","buildAppShellMenuTemplate.submenu.label","1","模板或 SQL，非界面提示","[{""line"":92,""text"":""Select All""}]"
"apps/desktop/src/main/automaticUpdateScheduler.ts","createAutomaticUpdateScheduler.persistNow","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":162,""text"":""Zeus 无法持久化自动更新状态。""}]"
"apps/desktop/src/main/beforeQuitCleanup.ts","createBeforeQuitCleanupHandler","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":54,""text"":""Zeus 退出资源清理未完整成功。""}]"
"apps/desktop/src/main/browserAutomationBridge.ts","createReconnectableBrowserAutomationProxy.waitForRegistration.timer","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":52,""text"":""Zeus 界面尚未重新连接浏览器自动化宿主。""}]"
"apps/desktop/src/main/browserAutomationBridge.ts","createReconnectableBrowserAutomationProxy.invoke","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":82,""text"":""Zeus BrowserHost bridge failed: ${detail}""}]"
"apps/desktop/src/main/browserAutomationBridge.ts","createReconnectableBrowserAutomationProxy.invoke","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":84,""text"":""Zeus BrowserHost bridge returned an invalid result.""}]"
"apps/desktop/src/main/browserAutomationBridge.ts","createReconnectableBrowserAutomationProxy.invoke","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":91,""text"":""Zeus BrowserHost bridge is unavailable.""}]"
"apps/desktop/src/main/browserAutomationBridge.ts","readJsonBody","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":134,""text"":""浏览器自动化请求超过允许大小。""}]"
"apps/desktop/src/main/browserHost.ts","registerIpc","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":401,""text"":""旧 Browser/Computer runtime 清理服务不可用。""}]"
"apps/desktop/src/main/browserHost.ts","registerIpc","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":410,""text"":""旧 Browser/Computer runtime 恢复服务不可用。""}]"
"apps/desktop/src/main/browserHost.ts","invoke","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":476,""text"":""Unsupported automation namespace for BrowserHost: ${input.namespace}""}]"
"apps/desktop/src/main/browserHost.ts","invoke","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":477,""text"":""The Zeus built-in browser is disabled in Settings.""}]"
"apps/desktop/src/main/browserHost.ts","invoke","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":568,""text"":""Unsupported Zeus browser tool: ${input.tool}""}]"
"apps/desktop/src/main/browserHost.ts","requireRendererWindow","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":703,""text"":""Browser request came from an untrusted Zeus window.""}]"
"apps/desktop/src/main/browserHost.ts","requirePageTab","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":709,""text"":""Browser page request came from an untrusted WebContents.""}]"
"apps/desktop/src/main/browserHost.ts","preferredWindow","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":717,""text"":""No Zeus window is available for the built-in browser.""}]"
"apps/desktop/src/main/browserHost.ts","openTab","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":728,""text"":""The built-in browser is disabled in Settings.""}]"
"apps/desktop/src/main/browserHost.ts","setLayout","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":794,""text"":""The built-in browser is disabled in Settings.""}]"
"apps/desktop/src/main/browserHost.ts","ensureView","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":823,""text"":""只读验证模式禁止创建浏览器 WebContentsView 或访问网页。""}]"
"apps/desktop/src/main/browserHost.ts","runManualCommand","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":910,""text"":""The built-in browser is disabled in Settings.""}]"
"apps/desktop/src/main/browserHost.ts","runManualCommand","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":915,""text"":""Browser command is invalid.""}]"
"apps/desktop/src/main/browserHost.ts","savePageComment","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":973,""text"":""This browser tab already has the maximum number of draft comments.""}]"
"apps/desktop/src/main/browserHost.ts","savePageComment","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":975,""text"":""Browser comment text is required.""}]"
"apps/desktop/src/main/browserHost.ts","savePageComment","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1018,""text"":""The comment was saved, but its screenshot could not be captured: ${error instanceof Error ? error.message : String(error)}""}]"
"apps/desktop/src/main/browserHost.ts","prepareComments","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1048,""text"":""There are no unsent browser comments.""}]"
"apps/desktop/src/main/browserHost.ts","markCommentsSent","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1084,""text"":""The browser tab does not belong to this conversation.""}]"
"apps/desktop/src/main/browserHost.ts","requireConversationTab","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1170,""text"":""The browser tab does not belong to this conversation.""}]"
"apps/desktop/src/main/browserHost.ts","ensureAgentSiteAccess","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1189,""text"":""Agent automation cannot navigate to local file URLs. Open the file manually in the built-in browser.""}]"
"apps/desktop/src/main/browserHost.ts","ensureAgentSiteAccess","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1192,""text"":""Agent browser access is blocked for ${origin}.""}]"
"apps/desktop/src/main/browserHost.ts","ensureAgentSiteAccess","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1201,""text"":""Agent browser access was denied for ${origin}.""}]"
"apps/desktop/src/main/browserHost.ts","invokeHistoryTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1263,""text"":""Unsupported history action: ${action}""}]"
"apps/desktop/src/main/browserHost.ts","invokeClickTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1298,""text"":""Automated file uploads are not supported. Ask the user to choose the file manually.""}]"
"apps/desktop/src/main/browserHost.ts","invokeClickTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1313,""text"":""The user denied the sensitive click.""}]"
"apps/desktop/src/main/browserHost.ts","invokeTypeTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1332,""text"":""Automated file uploads are not supported. Ask the user to choose the file manually.""}]"
"apps/desktop/src/main/browserHost.ts","invokeTypeTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1333,""text"":""ZEUS_BROWSER_SECURE_FIELD_BLOCKED: Use Browser Auth so the credential never enters Provider arguments or tool history.""}]"
"apps/desktop/src/main/browserHost.ts","invokePressTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1351,""text"":""A keyboard key is required.""}]"
"apps/desktop/src/main/browserHost.ts","invokePressTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1359,""text"":""Unsupported keyboard modifier: ${part}""}]"
"apps/desktop/src/main/browserHost.ts","invokePressTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1363,""text"":""Clipboard keyboard shortcuts are not supported. Use the clipboard tool so the user can approve access.""}]"
"apps/desktop/src/main/browserHost.ts","invokePressTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1382,""text"":""The user denied the sensitive key action.""}]"
"apps/desktop/src/main/browserHost.ts","invokeWaitTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1422,""text"":""Timed out waiting for selector: ${selector}""}]"
"apps/desktop/src/main/browserHost.ts","invokeClipboardTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1440,""text"":""The user denied clipboard access.""}]"
"apps/desktop/src/main/browserHost.ts","invokeClipboardTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1446,""text"":""Unsupported clipboard action: ${action}""}]"
"apps/desktop/src/main/browserHost.ts","invokeDeveloperTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1456,""text"":""Full CDP access is disabled in Browser Settings.""}]"
"apps/desktop/src/main/browserHost.ts","invokeDeveloperTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1468,""text"":""The user denied full CDP access.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1513,""text"":""Method path is not in Browser ${browserFrozenContractVersion}: ${path}""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1517,""text"":""Advanced developer Browser methods are disabled in Settings.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1519,""text"":""The user denied ${path}.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedTool","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1522,""text"":""The user denied ${path}.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedDirect.name","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1561,""text"":""Zeus Built-in Browser""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedDirect","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1587,""text"":""unsupported_surface: Browser capability ${id} is not advertised by the built-in surface.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedDirect","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1595,""text"":""unsupported_surface: Tab capability ${id} is not advertised by the built-in surface.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedTabCapability","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1769,""text"":""Frozen Browser method is registered but has no built-in adapter: ${path}""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedAx","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1830,""text"":""The user denied the sensitive accessibility action.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedAx","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1846,""text"":""Unsupported AX operation: ${method}""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedCua.info","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1899,""text"":""(() => {\n        const element = document.elementFromPoint(${JSON.stringify(startX)}, ${JSON.stringify(startY)});\n        if (!element) return null;\n        const input = element instanceof HTMLInputElement ? element : null;\n        const button = element instanceof HTMLButtonElement ? element : null;\n        const form = input?.form || button?.form || null;\n        return { selector: '', tagName: element.tagName, type: input?.type || element.getAttribute('type') || '', role: element.getAttribute('role') || '', name: element.getAttribute('aria-label') || element.getAttribute('name') || '', text: (element.textContent || '').trim().slice(0, 500), href: element instanceof HTMLAnchorElement ? element.href : '', navigationUrl: element instanceof HTMLAnchorElement ? element.href : form ? input?.formAction || button?.formAction || form.action : '', disabled: 'disabled' in element && Boolean(element.disabled), editable: element instanceof HTMLInputElement || element instanceof HTMLTextAreaElement || element.isContentEditable, fileInput: input?.type === 'file', submitter: input?.type === 'submit' || input?.type === 'image' || button?.type === 'submit' };\n      })()""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedCua","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1909,""text"":""ZEUS_BROWSER_COORDINATE_TARGET_MISSING: No element exists at the requested viewport coordinate.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedCua","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1920,""text"":""The user denied the sensitive coordinate action.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedCua","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1927,""text"":""Unsupported CUA operation: ${method}""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedDomCua","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1950,""text"":""Unsupported DOM CUA operation: ${method}""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedContent","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1957,""text"":""ZEUS_BROWSER_YOUTUBE_TRANSCRIPT_UNSUPPORTED_URL: transcript export requires an HTTPS youtube.com/watch tab.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedContent","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1961,""text"":""ZEUS_BROWSER_YOUTUBE_TRANSCRIPT_UNAVAILABLE: open the transcript panel or choose a video with an available transcript.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedContent","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1967,""text"":""ZEUS_BROWSER_GSUITE_EXPORT_UNSUPPORTED: ${type} is not valid for this Google Workspace URL.""}]"
"apps/desktop/src/main/browserHost.ts","captureAdvancedTabScreenshot","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":1991,""text"":""ZEUS_BROWSER_SCREENSHOT_FAILED: CDP returned no screenshot bytes.""}]"
"apps/desktop/src/main/browserHost.ts","writeBrowserExport","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2020,""text"":""Browser export exceeds 128 MiB.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedPlaywright","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2046,""text"":""ZEUS_BROWSER_ELEMENT_NOT_FOUND: no visible element exists at the requested point.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedPlaywright","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2064,""text"":""expectNavigation cannot recursively invoke itself.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedPlaywright","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2090,""text"":""Timed out waiting for URL: ${expected}""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedPlaywright","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2102,""text"":""ZEUS_BROWSER_WAIT_TIMEOUT: Timed out waiting for a new download.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedPlaywright","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2112,""text"":""ZEUS_BROWSER_WAIT_TIMEOUT: Timed out waiting for a file chooser.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedPlaywright","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2121,""text"":""Unsupported Playwright event: ${eventName}""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedPlaywright","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2127,""text"":""Unsupported Playwright operation: ${method}""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedFrameLocator","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2137,""text"":""PlaywrightFrameLocator requires a matching handle.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedLocator","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2150,""text"":""PlaywrightLocator requires a matching handle.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedLocator","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2162,""text"":""The locator does not expose a downloadable URL.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedLocator","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2183,""text"":""The user denied the sensitive locator action.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedDownload","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2192,""text"":""PlaywrightDownload requires a matching handle.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedFileChooser","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2204,""text"":""PlaywrightFileChooser requires a matching handle.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedFileChooser","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2206,""text"":""ZEUS_BROWSER_FILE_INPUT_STALE: The intercepted file input is no longer available.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedFileChooser","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2222,""text"":""The user denied the file upload.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedFileChooser","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2224,""text"":""The user did not select a file.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedTabClipboard","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2252,""text"":""ZEUS_BROWSER_CLIPBOARD_FORMAT_INVALID: at least one clipboard entry is required.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedJsDialog","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2346,""text"":""${kind} requires the matching live dialog handle.""}]"
"apps/desktop/src/main/browserHost.ts","invokeAdvancedJsDialog","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2350,""text"":""ZEUS_BROWSER_DIALOG_STALE: The JavaScript dialog was already handled or replaced.""}]"
"apps/desktop/src/main/browserHost.ts","invokeViewport","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2374,""text"":""Viewport width and height are required.""}]"
"apps/desktop/src/main/browserHost.ts","invokePageAssets.projection","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2385,""text"":""(() => {\n        const kind = (url, element) => {\n          const tag = element?.tagName?.toLowerCase();\n          if (tag === 'img' || /\\.(?:png|jpe?g|gif|webp|avif|svg)(?:[?#]|$)/iu.test(url)) return 'image';\n          if (tag === 'video' || /\\.(?:mp4|webm|mov)(?:[?#]|$)/iu.test(url)) return 'video';\n          if (tag === 'link' || /\\.css(?:[?#]|$)/iu.test(url)) return 'stylesheet';\n          if (/\\.(?:woff2?|ttf|otf)(?:[?#]|$)/iu.test(url)) return 'font';\n          if (tag === 'script' || /\\.m?js(?:[?#]|$)/iu.test(url)) return 'script';\n          return 'other';\n        };\n        const values = new Map();\n        const add = (url, element, source) => { try { const absolute = new URL(url, location.href).href; if (!/^https?:/u.test(absolute)) return; const existing = values.get(absolute) || { url: absolute, kind: kind(absolute, element), name: absolute.split('/').pop()?.split(/[?#]/u)[0] || 'asset', sources: [] }; existing.sources.push(source); values.set(absolute, existing); } catch {} };\n        performance.getEntriesByType('resource').forEach((entry) => add(entry.name, null, { kind: 'resource' }));\n        document.querySelectorAll('[src],[href],video[poster]').forEach((element) => { for (const attribute of ['src','href','poster']) { const value = element.getAttribute(attribute); if (value) add(value, element, { kind: 'attribute', property: attribute }); } });\n        const inlineSvgs = Array.from(document.querySelectorAll('svg')).slice(0, 200).map((svg, index) => ({ id: 'svg-' + index, name: svg.getAttribute('aria-label') || svg.id || 'inline-' + index + '.svg', markup: svg.outerHTML.slice(0, 500000) }));\n        return { assets: Array.from(values.values()).slice(0, 5000), inlineSvgs, pageUrl: location.href };\n      })()""}]"
"apps/desktop/src/main/browserHost.ts","invokePageAssets","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2423,""text"":""ZEUS_BROWSER_ASSET_INVENTORY_STALE: Refresh the asset inventory after navigation or turn change.""}]"
"apps/desktop/src/main/browserHost.ts","invokePageAssets","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":2440,""text"":""Asset bundle byte limit exceeded.""}]"
