"原始错误码或精确诊断","原始来源与原文","中文解释","英文解释","解决方向","真实原因判定","按钮约束"
"请填写记忆标识、内容、来源和复核日期。","[{""text"":""请填写记忆标识、内容、来源和复核日期。""}]","请填写记忆标识、内容、来源和复核日期。","Enter the memory identifier, content, source, and review date.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Enter the memory identifier, content, source, and review date.","[]","请填写记忆标识、内容、来源和复核日期。","Enter the memory identifier, content, source, and review date.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"置信度必须位于 0 到 1。","[{""text"":""置信度必须位于 0 到 1。""}]","置信度必须位于 0 到 1。","Confidence must be between 0 and 1.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Confidence must be between 0 and 1.","[]","置信度必须位于 0 到 1。","Confidence must be between 0 and 1.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"这条记忆可能指导 AI 修改文件或其他应用，请先勾选确认。","[{""text"":""这条记忆可能指导 AI 修改文件或其他应用，请先勾选确认。""}]","这条记忆可能指导 AI 修改文件或其他应用，请先勾选确认。","This memory may guide the AI to change files or other apps. Select the confirmation before saving.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"This memory may guide the AI to change files or other apps. Select the confirmation before saving.","[]","这条记忆可能指导 AI 修改文件或其他应用，请先勾选确认。","This memory may guide the AI to change files or other apps. Select the confirmation before saving.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"存储恢复服务尚未就绪。","[{""text"":""存储恢复服务尚未就绪。""}]","存储恢复服务尚未就绪。","Storage recovery is not available yet.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Storage recovery is not available yet.","[]","存储恢复服务尚未就绪。","Storage recovery is not available yet.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"项目模型速度偏好保存结果无效。","[{""text"":""项目模型速度偏好保存结果无效。""}]","项目模型速度偏好保存结果无效。","The saved project model speed preference is invalid.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"The saved project model speed preference is invalid.","[]","项目模型速度偏好保存结果无效。","The saved project model speed preference is invalid.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"所选模型来源不明确或已经不可用，请重新选择模型后重试。","[{""text"":""所选模型来源不明确或已经不可用，请重新选择模型后重试。""}]","所选模型来源不明确或已经不可用，请重新选择模型后重试。","The selected model source is ambiguous or unavailable. Select the model again and retry.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"The selected model source is ambiguous or unavailable. Select the model again and retry.","[]","所选模型来源不明确或已经不可用，请重新选择模型后重试。","The selected model source is ambiguous or unavailable. Select the model again and retry.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"工作目录已可用，但对话仍未连接到 AI 服务。","[{""text"":""工作目录已可用，但对话仍未连接到 AI 服务。""}]","工作目录已可用，但对话仍未连接到 AI 服务。","The working folder is available, but the conversation has not connected to the AI service.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"The working folder is available, but the conversation has not connected to the AI service.","[]","工作目录已可用，但对话仍未连接到 AI 服务。","The working folder is available, but the conversation has not connected to the AI service.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"看板设置能力不可用。","[{""text"":""看板设置能力不可用。""}]","看板设置能力不可用。","Board settings are unavailable.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Board settings are unavailable.","[]","看板设置能力不可用。","Board settings are unavailable.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"无法载入看板配置。","[{""text"":""无法载入看板配置。""}]","无法载入看板配置。","Unable to load board settings.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Unable to load board settings.","[]","无法载入看板配置。","Unable to load board settings.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"看板移动能力不可用。","[{""text"":""看板移动能力不可用。""}]","看板移动能力不可用。","Board move is unavailable.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Board move is unavailable.","[]","看板移动能力不可用。","Board move is unavailable.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"已取消移动。","[{""text"":""已取消移动。""}]","已取消移动。","Move cancelled.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Move cancelled.","[]","已取消移动。","Move cancelled.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"当前版本尚不支持启动自定义阶段。","[{""text"":""当前版本尚不支持启动自定义阶段。""}]","当前版本尚不支持启动自定义阶段。","Custom stages cannot be started in this version.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Custom stages cannot be started in this version.","[]","当前版本尚不支持启动自定义阶段。","Custom stages cannot be started in this version.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"找不到已验收交付物所属的对话。","[{""text"":""找不到已验收交付物所属的对话。""}]","找不到已验收交付物所属的对话。","The conversation associated with the accepted deliverable could not be found.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"The conversation associated with the accepted deliverable could not be found.","[]","找不到已验收交付物所属的对话。","The conversation associated with the accepted deliverable could not be found.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"仓库已不在当前项目中。","[{""text"":""仓库已不在当前项目中。""}]","仓库已不在当前项目中。","The repository is no longer part of this project.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"The repository is no longer part of this project.","[]","仓库已不在当前项目中。","The repository is no longer part of this project.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"目标模式暂不支持指定数字员工。请退出目标模式后再选择。","[{""text"":""目标模式暂不支持指定数字员工。请退出目标模式后再选择。""}]","目标模式暂不支持指定数字员工。请退出目标模式后再选择。","Goal mode does not support choosing a digital employee. Exit goal mode before selecting one.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Goal mode does not support choosing a digital employee. Exit goal mode before selecting one.","[]","目标模式暂不支持指定数字员工。请退出目标模式后再选择。","Goal mode does not support choosing a digital employee. Exit goal mode before selecting one.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"代码审查会话未被接受，请查看当前错误提示。","[{""text"":""代码审查会话未被接受，请查看当前错误提示。""}]","代码审查会话未被接受，请查看当前错误提示。","The code review conversation was not accepted. Check the current error notice.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"The code review conversation was not accepted. Check the current error notice.","[]","代码审查会话未被接受，请查看当前错误提示。","The code review conversation was not accepted. Check the current error notice.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"无效的任务优先级。","[{""text"":""无效的任务优先级。""}]","无效的任务优先级。","Invalid task priority.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Invalid task priority.","[]","无效的任务优先级。","Invalid task priority.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"当前没有可处理的冲突。","[{""text"":""当前没有可处理的冲突。""}]","当前没有可处理的冲突。","No conflict is available.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"No conflict is available.","[]","当前没有可处理的冲突。","No conflict is available.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"当前操作暂时无法进入准备队列。","[{""text"":""当前操作暂时无法进入准备队列。""}]","当前操作暂时无法进入准备队列。","This operation cannot be queued yet.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"This operation cannot be queued yet.","[]","当前操作暂时无法进入准备队列。","This operation cannot be queued yet.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"任务优先级更新能力不可用。","[{""text"":""任务优先级更新能力不可用。""}]","任务优先级更新能力不可用。","Task priority update is unavailable.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Task priority update is unavailable.","[]","任务优先级更新能力不可用。","Task priority update is unavailable.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_BAD_REQUEST","[]","请先填写此禅道连接的账号。","Enter the account for this ZenTao connection first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_PASSWORD_MISSING","[]","禅道连接尚未保存密码，请填写密码后再验证。","The ZenTao connection has no saved password. Enter a password before verifying.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_API_UNAVAILABLE","[]","此禅道地址没有提供登录接口，请检查地址或联系管理员启用 REST API。","This ZenTao address has no sign-in endpoint. Check the address or ask the administrator to enable the REST API.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_HTTP_400","[]","禅道拒绝了登录请求的参数，请检查账号信息与实例配置。","ZenTao rejected the sign-in request parameters. Check the account information and instance settings.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_HTTP_401","[]","禅道未接受登录信息，请检查账号和密码。","ZenTao did not accept the credentials. Check the account and password.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_AUTH_FAILED","[]","禅道未接受登录信息，请检查账号和密码。","ZenTao did not accept the credentials. Check the account and password.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_HTTP_403","[]","禅道不允许当前账号访问，请检查账号权限。","ZenTao denied access to this account. Check its permissions.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_TOKEN_MISSING","[]","禅道响应中没有登录凭证，无法确认登录成功。请联系实例管理员检查配置。","ZenTao returned no sign-in token, so sign-in cannot be confirmed. Ask the instance administrator to check its configuration.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_HTTP_FAILED","[]","禅道服务返回了错误，无法完成登录检查。请查看详情中的响应状态。","The ZenTao service returned an error and sign-in could not be checked. See the response status in the details.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_TIMEOUT","[]","禅道未能及时响应，请检查服务地址和服务状态。","ZenTao did not respond in time. Check the service address and status.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_ZENTAO_CONNECT_FAILED","[]","未能连接禅道，具体原因尚未确定。请查看错误详情。","ZenTao could not be reached, and the cause is unknown. See the error details.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_LONG_TERM_MEMORY_CANDIDATE_REJECTED","[{""file"":""packages/local-server/src/memoryContextApi.ts"",""line"":96,""value"":""任务事实、一次性结果和运行证据不能进入长期记忆。""},{""file"":""packages/storage/src/longTermMemoryStore.ts"",""line"":227,""value"":""任务事实、一次性结果和运行证据不能修正为长期记忆。""}]","此内容属于任务事实或一次性结果，不适合作为长期规则保存。请保留在对应任务中。","This content describes task facts or a one-time result and cannot be saved as a long-term rule. Keep it with the task.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_LONG_TERM_MEMORY_CONFIRMATION_REQUIRED","[{""file"":""packages/storage/src/longTermMemoryStore.ts"",""line"":389,""value"":""会影响外部状态的长期规则必须来自用户或项目指令，并具有 explicit 确认等级。""}]","这条长期规则会影响后续操作，需要你明确确认后才能保存。","This long-term rule affects future actions and needs your explicit confirmation before it can be saved.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_LONG_TERM_MEMORY_HEAD_CONFLICT","[{""file"":""packages/storage/src/longTermMemoryStore.ts"",""line"":202,""value"":""长期记忆 ID 已绑定到不同内容。""},{""file"":""packages/storage/src/longTermMemoryStore.ts"",""line"":207,""value"":""同一 scope 与 memory key 已有当前版本，修正时必须显式 supersede 当前 head。""},{""file"":""packages/storage/src/longTermMemoryStore.ts"",""line"":215,""value"":""supersedes 指向的记录不是该 scope 与 memory key 的当前 head。""},{""file"":""packages/storage/src/longTermMemoryStore.ts"",""line"":333,""value"":""同一 scope 与 memory key 存在多个未被 supersede 的 head，必须先人工修复。""}]","这条记忆的当前版本与本次修改不一致，请载入最新记忆后再修改。","The current version of this memory does not match this edit. Load the latest memory before editing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_LONG_TERM_MEMORY_NOT_FOUND","[{""file"":""packages/storage/src/longTermMemoryStore.ts"",""line"":224,""value"":""要修正的长期记忆不存在。""},{""file"":""packages/storage/src/longTermMemoryStore.ts"",""line"":238,""value"":""要停用或删除的长期记忆不存在。""}]","找不到要修改或移除的记忆，请刷新记忆列表。","The memory to edit or remove could not be found. Refresh the memory list.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_TASK_TERMINAL","[]","任务已完成或取消，不能创建新工作项。请先重新打开任务。","The task is completed or cancelled and cannot accept new work. Reopen it first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_DIGITAL_EMPLOYEE_DISABLED","[{""file"":""packages/local-server/src/digitalEmployeeRoutes.ts"",""line"":420,""value"":""数字员工已停用，不能接收失败重试。""},{""file"":""packages/local-server/src/digitalEmployeeRoutes.ts"",""line"":445,""value"":""数字员工已停用，不能接收下一阶段。""},{""file"":""packages/local-server/src/digitalEmployeeRoutes.ts"",""line"":470,""value"":""数字员工已停用，不能接收返工。""},{""file"":""packages/local-server/src/digitalEmployeeRoutes.ts"",""line"":892,""value"":""数字员工已停用，不能创建或运行自动化。""}]","这个数字员工已停用，请启用后再指派工作。","This digital employee is disabled. Enable it before assigning work.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_DIGITAL_EMPLOYEE_AGENT_ENTRYPOINT_REQUIRED","[{""file"":""packages/local-server/src/digitalEmployeeOrchestrator.ts"",""line"":339,""value"":""数字员工必须通过 Agent 会话执行；自动化不会运行旧版入口配置。""},{""file"":""packages/local-server/src/digitalEmployeeRoutes.ts"",""line"":564,""value"":""数字员工必须通过 Agent 会话执行；命令只是受权限约束的一项运行能力。""},{""file"":""packages/local-server/src/taskWorkManagement.ts"",""line"":598,""value"":""数字员工必须通过 Agent 会话执行。""}]","这个数字员工缺少可执行配置。请在员工设置中补齐配置并保存。","This digital employee has no executable configuration. Complete and save it in employee settings.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_SKILL_INVALID","[]","所选技能当前不可用，请重新选择技能。","The selected skill is unavailable. Select a skill again.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_SKILL_UNAVAILABLE","[]","所选技能当前不可用，请重新选择技能。","The selected skill is unavailable. Select a skill again.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_ENVIRONMENT_INVALID","[]","所选任务分支或工作目录不可用。请重新选择可用分支或工作目录。","The selected task branch or working folder is unavailable. Select an available branch or folder.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_LOCAL_BRANCH_INVALID","[]","所选任务分支或工作目录不可用。请重新选择可用分支或工作目录。","The selected task branch or working folder is unavailable. Select an available branch or folder.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_SOURCE_REF_UNAVAILABLE","[]","所选任务分支或工作目录不可用。请重新选择可用分支或工作目录。","The selected task branch or working folder is unavailable. Select an available branch or folder.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_ENVIRONMENT_CLOSED","[]","所选任务工作目录已经关闭，请选择其他目录或新建目录。","The selected task working folder is closed. Select another folder or create one.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_ENVIRONMENT_BUSY","[]","所选分支或目录正在被其他工作使用。请选择其他目录，或先完成现有工作。","Other work is using this branch or folder. Select another folder or finish the existing work first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_LOCAL_BRANCH_CHECKED_OUT","[]","所选分支或目录正在被其他工作使用。请选择其他目录，或先完成现有工作。","Other work is using this branch or folder. Select another folder or finish the existing work first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_LOCAL_BRANCH_MANAGED","[]","所选分支或目录正在被其他工作使用。请选择其他目录，或先完成现有工作。","Other work is using this branch or folder. Select another folder or finish the existing work first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_REPOSITORY_REVISION_REQUIRED","[]","未能读取完整项目仓库信息，暂时不能启动。请刷新仓库列表。","The project repository information could not be fully read, so work cannot start. Refresh the repository list.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_CONTEXT_DELIVERABLE_INVALID","[]","所选交付物尚未验收或不属于这项任务。请选择本任务中已验收的交付物。","The selected deliverable is not accepted or belongs to another task. Select an accepted deliverable from this task.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_MODEL_UNAVAILABLE","[]","项目中没有可用的所选模型。请在项目的“可用模型”中启用模型后重新选择。","The selected model is unavailable in this project. Enable it under the project’s Available models, then select it again.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_REASONING_NOT_ALLOWED","[]","当前模型不支持所选推理强度，请选择支持的强度。","The model does not support the selected reasoning effort. Select a supported level.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_SERVICE_TIER_NOT_ALLOWED","[]","当前模型不支持所选服务速率，请选择支持的选项。","The model does not support the selected service tier. Select a supported option.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_COMMAND_PARAMETER_REQUIRED","[]","有必填命令参数尚未填写。请补齐表单中的必填项；详情中列出了对应参数。","Required command parameters are missing. Complete the required form fields; the details identify the parameters.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_COMMAND_PARAMETER_INVALID","[]","命令参数的类型不正确或包含未定义项。请按命令表单重新填写，并查看详情中的参数名称。","A command parameter has the wrong type or is not defined. Enter values using the command form and check the parameter names in the details.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_COMMAND_PARAMETER_UNKNOWN","[]","命令参数的类型不正确或包含未定义项。请按命令表单重新填写，并查看详情中的参数名称。","A command parameter has the wrong type or is not defined. Enter values using the command form and check the parameter names in the details.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_COMMAND_OUTCOME_UNKNOWN","[{""file"":""packages/local-server/src/gitCommandApplication.ts"",""line"":287,""value"":""Git command result is unknown after write started: ${detail}""}]","上次操作的结果尚未确认，Zeus 已暂停继续执行，避免重复操作。请检查实际处理状态。","The previous action’s result is unconfirmed. Zeus paused further execution to avoid duplicate actions. Check the actual processing state.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
