"文件","入口或词典键","处理结论","当前行号","原文逐项列表","中文逐项列表或双语动态表达式","英文逐项列表","触发条件","现有操作或限制","原因或展示上下文"
"apps/desktop/browser-extension/src/background.ts","invokeDialog","已检查保留","470","[{""scope"":""invokeDialog"",""line"":464,""text"":""The JavaScript dialog was closed or replaced; call Tab.getJsDialog again."",""when"":[""!latest || latest.method !== 'Page.javascriptDialogOpening' || latest.sequence !== handle.payload.sequence""]}]","[]","[{""scope"":""invokeDialog"",""line"":470,""text"":""The JavaScript dialog was closed or replaced; call Tab.getJsDialog again."",""when"":[""!latest || latest.method !== 'Page.javascriptDialogOpening' || latest.sequence !== handle.payload.sequence""]}]","[""!latest || latest.method !== 'Page.javascriptDialogOpening' || latest.sequence !== handle.payload.sequence""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_DIALOG_STALE', 'The JavaScript dialog was closed or replaced; call Tab.getJsDialog again.')""]"
"apps/desktop/browser-extension/src/background.ts","invokePlaywright","已检查保留","489;507;513","[{""scope"":""invokePlaywright"",""line"":483,""text"":""expectNavigation requires a non-recursive frozen Browser action descriptor."",""when"":[""!args.action || typeof args.action !== 'object' || args.action.path === 'PlaywrightAPI.expectNavigation'"",""method === 'expectNavigation'""]},{""scope"":""invokePlaywright"",""line"":501,""text"":""Timed out waiting for URL: ${expected}"",""when"":[""method === 'waitForURL'""]},{""scope"":""invokePlaywright"",""line"":507,""text"":""Unsupported Playwright method: ${method}""}]","[]","[{""scope"":""invokePlaywright"",""line"":489,""text"":""expectNavigation requires a non-recursive frozen Browser action descriptor."",""when"":[""!args.action || typeof args.action !== 'object' || args.action.path === 'PlaywrightAPI.expectNavigation'"",""method === 'expectNavigation'""]},{""scope"":""invokePlaywright"",""line"":507,""text"":""Timed out waiting for URL: ${expected}"",""when"":[""method === 'waitForURL'""]},{""scope"":""invokePlaywright"",""line"":513,""text"":""Unsupported Playwright method: ${method}""}]","[""!args.action || typeof args.action !== 'object' || args.action.path === 'PlaywrightAPI.expectNavigation'"",""method === 'expectNavigation'"",""method === 'waitForURL'""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_NAVIGATION_ACTION_INVALID', 'expectNavigation requires a non-recursive frozen Browser action descriptor.')"",""failure('ZEUS_BROWSER_WAIT_TIMEOUT', `Timed out waiting for URL: ${expected}`)"",""failure('ZEUS_BROWSER_PLAYWRIGHT_METHOD_UNSUPPORTED', `Unsupported Playwright method: ${method}`)""]"
"apps/desktop/browser-extension/src/background.ts","waitForPlaywrightEvent","已检查保留","525;541;545","[{""scope"":""waitForPlaywrightEvent"",""line"":519,""text"":""Timed out waiting for a new download from the claimed tab."",""when"":[""!event"",""eventName === 'download'""]},{""scope"":""waitForPlaywrightEvent"",""line"":535,""text"":""Timed out waiting for a file chooser from the claimed tab."",""when"":[""!event"",""eventName === 'filechooser'""]},{""scope"":""waitForPlaywrightEvent"",""line"":539,""text"":""Unsupported Playwright event: ${eventName}""}]","[]","[{""scope"":""waitForPlaywrightEvent"",""line"":525,""text"":""Timed out waiting for a new download from the claimed tab."",""when"":[""!event"",""eventName === 'download'""]},{""scope"":""waitForPlaywrightEvent"",""line"":541,""text"":""Timed out waiting for a file chooser from the claimed tab."",""when"":[""!event"",""eventName === 'filechooser'""]},{""scope"":""waitForPlaywrightEvent"",""line"":545,""text"":""Unsupported Playwright event: ${eventName}""}]","[""!event"",""eventName === 'download'"",""eventName === 'filechooser'""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_WAIT_TIMEOUT', 'Timed out waiting for a new download from the claimed tab.')"",""failure('ZEUS_BROWSER_WAIT_TIMEOUT', 'Timed out waiting for a file chooser from the claimed tab.')"",""failure('ZEUS_BROWSER_EVENT_UNSUPPORTED', `Unsupported Playwright event: ${eventName}`)""]"
"apps/desktop/browser-extension/src/background.ts","invokeBrowserUser","已检查保留","619","[{""scope"":""invokeBrowserUser"",""line"":613,""text"":""Unsupported BrowserUser method: ${method}""}]","[]","[{""scope"":""invokeBrowserUser"",""line"":619,""text"":""Unsupported BrowserUser method: ${method}""}]","进入此函数或词典键对应的界面；详见当前入口","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_USER_METHOD_UNSUPPORTED', `Unsupported BrowserUser method: ${method}`)""]"
"apps/desktop/browser-extension/src/background.ts","invokeManagementRoot","已检查保留","627","[{""scope"":""invokeManagementRoot"",""line"":621,""text"":""Unsupported management method: ${method}""}]","[]","[{""scope"":""invokeManagementRoot"",""line"":627,""text"":""Unsupported management method: ${method}""}]","进入此函数或词典键对应的界面；详见当前入口","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_MANAGEMENT_METHOD_UNSUPPORTED', `Unsupported management method: ${method}`)""]"
"apps/desktop/browser-extension/src/background.ts","invokeManagementBookmarks","已检查保留","633","[{""scope"":""invokeManagementBookmarks"",""line"":627,""text"":""Bookmark method is not allowlisted: ${method}"",""when"":[""!readMethods.has(method) && !writeMethods.has(method)""]}]","[]","[{""scope"":""invokeManagementBookmarks"",""line"":633,""text"":""Bookmark method is not allowlisted: ${method}"",""when"":[""!readMethods.has(method) && !writeMethods.has(method)""]}]","[""!readMethods.has(method) && !writeMethods.has(method)""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_MANAGEMENT_METHOD_BLOCKED', `Bookmark method is not allowlisted: ${method}`)""]"
"apps/desktop/browser-extension/src/background.ts","invokeManagementBookmarks.value","已检查保留","641","[{""scope"":""invokeManagementBookmarks.value"",""line"":635,""text"":""Bookmark URLs must use http or https."",""when"":[""!['http:', 'https:'].includes(url.protocol)"",""details?.url"",""writeMethods.has(method)""]}]","[]","[{""scope"":""invokeManagementBookmarks.value"",""line"":641,""text"":""Bookmark URLs must use http or https."",""when"":[""!['http:', 'https:'].includes(url.protocol)"",""details?.url"",""writeMethods.has(method)""]}]","[""!['http:', 'https:'].includes(url.protocol)"",""details?.url"",""writeMethods.has(method)""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_BOOKMARK_URL_BLOCKED', 'Bookmark URLs must use http or https.')""]"
"apps/desktop/browser-extension/src/background.ts","invokeManagementTabGroups","已检查保留","654;657;661","[{""scope"":""invokeManagementTabGroups"",""line"":648,""text"":""This browser version does not expose tab groups."",""when"":[""!chrome.tabGroups""]},{""scope"":""invokeManagementTabGroups"",""line"":651,""text"":""Tab-group method is not allowlisted: ${method}"",""when"":[""!readMethods.has(method) && !writeMethods.has(method)""]},{""scope"":""invokeManagementTabGroups"",""line"":655,""text"":""Shared tab groups cannot be modified by Zeus."",""when"":[""group.shared"",""writeMethods.has(method)""]}]","[]","[{""scope"":""invokeManagementTabGroups"",""line"":654,""text"":""This browser version does not expose tab groups."",""when"":[""!chrome.tabGroups""]},{""scope"":""invokeManagementTabGroups"",""line"":657,""text"":""Tab-group method is not allowlisted: ${method}"",""when"":[""!readMethods.has(method) && !writeMethods.has(method)""]},{""scope"":""invokeManagementTabGroups"",""line"":661,""text"":""Shared tab groups cannot be modified by Zeus."",""when"":[""group.shared"",""writeMethods.has(method)""]}]","[""!chrome.tabGroups"",""!readMethods.has(method) && !writeMethods.has(method)"",""group.shared"",""writeMethods.has(method)""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_TAB_GROUPS_UNAVAILABLE', 'This browser version does not expose tab groups.')"",""failure('ZEUS_BROWSER_MANAGEMENT_METHOD_BLOCKED', `Tab-group method is not allowlisted: ${method}`)"",""failure('ZEUS_BROWSER_SHARED_GROUP_BLOCKED', 'Shared tab groups cannot be modified by Zeus.')""]"
"apps/desktop/browser-extension/src/background.ts","invokeManagementTabs","已检查保留","672;674;683","[{""scope"":""invokeManagementTabs"",""line"":666,""text"":""Tab method is not allowlisted: ${method}"",""when"":[""!readMethods.has(method) && !writeMethods.has(method)""]},{""scope"":""invokeManagementTabs"",""line"":668,""text"":""The management capability cannot navigate tabs."",""when"":[""method === 'update' && values[1] && typeof values[1] === 'object' && 'url' in values[1]""]},{""scope"":""invokeManagementTabs"",""line"":677,""text"":""Tab moves are blocked when an affected window contains a shared tab group."",""when"":[""groups.some((group) => group.shared && affectedWindows.has(group.windowId))"",""chrome.tabGroups && affectedWindows.size > 0"",""writeMethods.has(method)""]}]","[]","[{""scope"":""invokeManagementTabs"",""line"":672,""text"":""Tab method is not allowlisted: ${method}"",""when"":[""!readMethods.has(method) && !writeMethods.has(method)""]},{""scope"":""invokeManagementTabs"",""line"":674,""text"":""The management capability cannot navigate tabs."",""when"":[""method === 'update' && values[1] && typeof values[1] === 'object' && 'url' in values[1]""]},{""scope"":""invokeManagementTabs"",""line"":683,""text"":""Tab moves are blocked when an affected window contains a shared tab group."",""when"":[""groups.some((group) => group.shared && affectedWindows.has(group.windowId))"",""chrome.tabGroups && affectedWindows.size > 0"",""writeMethods.has(method)""]}]","[""!readMethods.has(method) && !writeMethods.has(method)"",""method === 'update' && values[1] && typeof values[1] === 'object' && 'url' in values[1]"",""groups.some((group) => group.shared && affectedWindows.has(group.windowId))"",""chrome.tabGroups && affectedWindows.size > 0"",""writeMethods.has(method)""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_MANAGEMENT_METHOD_BLOCKED', `Tab method is not allowlisted: ${method}`)"",""failure('ZEUS_BROWSER_MANAGEMENT_NAVIGATION_BLOCKED', 'The management capability cannot navigate tabs.')"",""failure('ZEUS_BROWSER_SHARED_GROUP_BLOCKED', 'Tab moves are blocked when an affected window contains a shared tab group.')""]"
"apps/desktop/browser-extension/src/background.ts","invokeViewport","已检查保留","716","[{""scope"":""invokeViewport"",""line"":710,""text"":""Viewport width and height are required."",""when"":[""!width || !height""]}]","[]","[{""scope"":""invokeViewport"",""line"":716,""text"":""Viewport width and height are required."",""when"":[""!width || !height""]}]","[""!width || !height""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_VIEWPORT_INVALID', 'Viewport width and height are required.')""]"
"apps/desktop/browser-extension/src/background.ts","invokeCdpCapability","已检查保留","734","[{""scope"":""invokeCdpCapability"",""line"":728,""text"":""Unsupported CDP capability method: ${method}""}]","[]","[{""scope"":""invokeCdpCapability"",""line"":734,""text"":""Unsupported CDP capability method: ${method}""}]","进入此函数或词典键对应的界面；详见当前入口","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_CDP_METHOD_UNSUPPORTED', `Unsupported CDP capability method: ${method}`)""]"
"apps/desktop/browser-extension/src/background.ts","selectorQuery","已检查保留","775","[{""scope"":""selectorQuery"",""line"":769,""text"":""Browser Auth selectors must be CSS selectors or current locator handles."",""when"":[""typeof handleId !== 'string'""]}]","[]","[{""scope"":""selectorQuery"",""line"":775,""text"":""Browser Auth selectors must be CSS selectors or current locator handles."",""when"":[""typeof handleId !== 'string'""]}]","[""typeof handleId !== 'string'""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_AUTH_LOCATOR_INVALID', 'Browser Auth selectors must be CSS selectors or current locator handles.')""]"
"apps/desktop/browser-extension/src/background.ts","invokePageAssets","已改写","817","[{""scope"":""invokePageAssets"",""line"":811,""text"":""Refresh the asset inventory after navigation."",""when"":[""!stored || stored.tabId !== tab.id || stored.generation !== (generations.get(tab.id) || 1)""]},{""scope"":""invokePageAssets"",""line"":821,""text"":""Site access is missing for ${safeOrigin(asset.url)}."",""when"":[""!permission || !(await chrome.permissions.contains({ origins: [permission] }))""]},{""scope"":""invokePageAssets"",""line"":826,""text"":""Asset bundle byte limit exceeded."",""when"":[""buffer.byteLength > 8 * 1024 * 1024 || bytes > 12 * 1024 * 1024""]}]","[]","[{""scope"":""invokePageAssets"",""line"":817,""text"":""Refresh the asset inventory after navigation."",""when"":[""!stored || stored.tabId !== tab.id || stored.generation !== (generations.get(tab.id) || 1)""]}]","[""!stored || stored.tabId !== tab.id || stored.generation !== (generations.get(tab.id) || 1)""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_ASSET_INVENTORY_STALE', 'Refresh the asset inventory after navigation.')""]"
"apps/desktop/browser-extension/src/background.ts","invokeContentExport","已检查保留","849;852;857;860;863;865;868","[{""scope"":""invokeContentExport"",""line"":843,""text"":""Transcript export requires an HTTPS youtube.com/watch tab."",""when"":[""url.protocol !== 'https:' || !['youtube.com', 'www.youtube.com'].includes(url.hostname) || url.pathname !== '/watch'"",""method === 'exportYouTubeTranscript'""]},{""scope"":""invokeContentExport"",""line"":846,""text"":""Open the transcript panel or choose a video with an available transcript."",""when"":[""!String(transcript || '').trim()"",""method === 'exportYouTubeTranscript'""]},{""scope"":""invokeContentExport"",""line"":851,""text"":""${args.type} is not valid for this Google Workspace URL."",""when"":[""!request"",""method === 'exportGsuite'""]},{""scope"":""invokeContentExport"",""line"":854,""text"":""Google Workspace export requires site access for ${safeOrigin(request.url)}."",""when"":[""!permission || !(await chrome.permissions.contains({ origins: [permission] }))"",""method === 'exportGsuite'""]},{""scope"":""invokeContentExport"",""line"":857,""text"":""Google Workspace export returned HTTP ${response.status}."",""when"":[""!response.ok"",""method === 'exportGsuite'""]},{""scope"":""invokeContentExport"",""line"":859,""text"":""External browser exports are limited to 8 MiB per Native Messaging call."",""when"":[""buffer.byteLength > 8 * 1024 * 1024"",""method === 'exportGsuite'""]},{""scope"":""invokeContentExport"",""line"":862,""text"":""Unsupported content export: ${method}""}]","[]","[{""scope"":""invokeContentExport"",""line"":849,""text"":""Transcript export requires an HTTPS youtube.com/watch tab."",""when"":[""url.protocol !== 'https:' || !['youtube.com', 'www.youtube.com'].includes(url.hostname) || url.pathname !== '/watch'"",""method === 'exportYouTubeTranscript'""]},{""scope"":""invokeContentExport"",""line"":852,""text"":""Open the transcript panel or choose a video with an available transcript."",""when"":[""!String(transcript || '').trim()"",""method === 'exportYouTubeTranscript'""]},{""scope"":""invokeContentExport"",""line"":857,""text"":""${args.type} is not valid for this Google Workspace URL."",""when"":[""!request"",""method === 'exportGsuite'""]},{""scope"":""invokeContentExport"",""line"":860,""text"":""Google Workspace export requires site access for ${safeOrigin(request.url)}."",""when"":[""!permission || !(await chrome.permissions.contains({ origins: [permission] }))"",""method === 'exportGsuite'""]},{""scope"":""invokeContentExport"",""line"":863,""text"":""Google Workspace export returned HTTP ${response.status}."",""when"":[""!response.ok"",""method === 'exportGsuite'""]},{""scope"":""invokeContentExport"",""line"":865,""text"":""External browser exports are limited to 8 MiB per Native Messaging call."",""when"":[""buffer.byteLength > 8 * 1024 * 1024"",""method === 'exportGsuite'""]},{""scope"":""invokeContentExport"",""line"":868,""text"":""Unsupported content export: ${method}""}]","[""url.protocol !== 'https:' || !['youtube.com', 'www.youtube.com'].includes(url.hostname) || url.pathname !== '/watch'"",""method === 'exportYouTubeTranscript'"",""!String(transcript || '').trim()"",""!request"",""method === 'exportGsuite'"",""!permission || !(await chrome.permissions.contains({ origins: [permission] }))"",""!response.ok"",""buffer.byteLength > 8 * 1024 * 1024""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_YOUTUBE_TRANSCRIPT_UNSUPPORTED_URL', 'Transcript export requires an HTTPS youtube.com/watch tab.')"",""failure('ZEUS_BROWSER_YOUTUBE_TRANSCRIPT_UNAVAILABLE', 'Open the transcript panel or choose a video with an available transcript.')"",""failure('ZEUS_BROWSER_GSUITE_EXPORT_UNSUPPORTED', `${args.type} is not valid for this Google Workspace URL.`)"",""failure('ZEUS_BROWSER_PERMISSION_REQUIRED', `Google Workspace export requires site access for ${safeOrigin(request.url)}.`)"",""failure('ZEUS_BROWSER_GSUITE_EXPORT_FAILED', `Google Workspace export returned HTTP ${response.status}.`)"",""failure('ZEUS_BROWSER_EXPORT_TOO_LARGE', 'External browser exports are limited to 8 MiB per Native Messaging call.')"",""failure('ZEUS_BROWSER_CONTENT_METHOD_UNSUPPORTED', `Unsupported content export: ${method}`)""]"
"apps/desktop/browser-extension/src/background.ts","primaryArtifact","已检查保留","873","[{""scope"":""primaryArtifact"",""line"":867,""text"":""External browser exports are limited to 8 MiB per Native Messaging call."",""when"":[""bytes.byteLength > 8 * 1024 * 1024""]}]","[]","[{""scope"":""primaryArtifact"",""line"":873,""text"":""External browser exports are limited to 8 MiB per Native Messaging call."",""when"":[""bytes.byteLength > 8 * 1024 * 1024""]}]","[""bytes.byteLength > 8 * 1024 * 1024""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_EXPORT_TOO_LARGE', 'External browser exports are limited to 8 MiB per Native Messaging call.')""]"
"apps/desktop/browser-extension/src/background.ts","invokeClipboard.value","已检查保留","910","[{""scope"":""invokeClipboard.value"",""line"":904,""text"":""Use the Zeus secure clipboard UI for external-browser clipboard access.""}]","[]","[{""scope"":""invokeClipboard.value"",""line"":910,""text"":""Use the Zeus secure clipboard UI for external-browser clipboard access.""}]","进入此函数或词典键对应的界面；详见当前入口","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_CLIPBOARD_CONTEXT_REQUIRED', 'Use the Zeus secure clipboard UI for external-browser clipboard access.')""]"
"apps/desktop/browser-extension/src/background.ts","invokeFileChooser","已检查保留","948;955;957","[{""scope"":""invokeFileChooser"",""line"":942,""text"":""The intercepted file input is no longer available."",""when"":[""!Number.isSafeInteger(backendNodeId) || backendNodeId <= 0""]},{""scope"":""invokeFileChooser"",""line"":949,""text"":""Unsupported FileChooser method: ${method}"",""when"":[""method !== 'setFiles'""]},{""scope"":""invokeFileChooser"",""line"":951,""text"":""No local file paths were selected."",""when"":[""!files.length""]}]","[]","[{""scope"":""invokeFileChooser"",""line"":948,""text"":""The intercepted file input is no longer available."",""when"":[""!Number.isSafeInteger(backendNodeId) || backendNodeId <= 0""]},{""scope"":""invokeFileChooser"",""line"":955,""text"":""Unsupported FileChooser method: ${method}"",""when"":[""method !== 'setFiles'""]},{""scope"":""invokeFileChooser"",""line"":957,""text"":""No local file paths were selected."",""when"":[""!files.length""]}]","[""!Number.isSafeInteger(backendNodeId) || backendNodeId <= 0"",""method !== 'setFiles'"",""!files.length""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_FILE_INPUT_STALE', 'The intercepted file input is no longer available.')"",""failure('ZEUS_BROWSER_FILE_CHOOSER_METHOD_UNSUPPORTED', `Unsupported FileChooser method: ${method}`)"",""failure('ZEUS_BROWSER_FILE_SELECTION_EMPTY', 'No local file paths were selected.')""]"
